DATE,CUSIP
1/2/2019,37045XBJ4
1/2/2019,61747YCG8
1/2/2019,483007AH3
1/3/2019,345370BM1
1/3/2019,25468PCW4
1/3/2019,71647NAR0
1/3/2019,63165TYM1
1/3/2019,P14008AC3
1/3/2019,G07402DP5
1/3/2019,P3579EAY3
1/4/2019,48127FAA1
1/4/2019,P1027DEN7
1/4/2019,68441MAX3
1/7/2019,G2585XAA7
1/7/2019,P8542TAP2
1/7/2019,05968AAA4
1/7/2019,00206RGD8
1/7/2019,040114HK9
1/7/2019,P7S16JAU2
1/7/2019,L0427PAA4
1/7/2019,71647NAY5
1/8/2019,36962G3P7
1/8/2019,81180WAR2
1/8/2019,46556MAB8
1/8/2019,71647NAY5
1/8/2019,C67111AJ0
1/9/2019,06406RAG2
1/9/2019,12189LAL5
1/9/2019,172967GT2
1/9/2019,61747YDU6
1/9/2019,U37818AG3
1/9/2019,88167AAD3
1/9/2019,432833AB7
1/9/2019,31572UAE6
1/9/2019,382550BF7
1/9/2019,50077LAD8
1/9/2019,71647NAY5
1/9/2019,G0732RAF5
1/9/2019,71647NAS8
1/9/2019,71647NAF6
1/9/2019,544525SC3
1/10/2019,13645RAJ3
1/10/2019,U2339CBT4
1/10/2019,P1911JAC1
1/10/2019,38141GVX9
1/10/2019,00101JAH9
1/10/2019,P5880UAB6
1/10/2019,C10602AY3
1/10/2019,912909AN8
1/10/2019,46556MAJ1
1/10/2019,71647NAF6
1/10/2019,71654QCC4
1/10/2019,P91528AA0
1/11/2019,G08010BH5
1/11/2019,71647NAY5
1/11/2019,71654QBE1
1/11/2019,P3699PAA5
1/14/2019,71645WAQ4
1/14/2019,71647NAN9
1/14/2019,P7S16JAU2
1/15/2019,94974BFU9
1/15/2019,0258M0EK1
1/15/2019,404280BH1
1/15/2019,94974BFY1
1/15/2019,53944YAB9
1/15/2019,172967JL6
1/15/2019,06051GFH7
1/15/2019,71647NAS8
1/15/2019,P1265VAA0
1/15/2019,71654QBW1
1/15/2019,93974DHC5
1/15/2019,P1910WMG1
1/15/2019,P1911JAC1
1/16/2019,25152RXA6
1/16/2019,626717AH5
1/16/2019,690742AE1
1/16/2019,29273RBG3
1/16/2019,466313AG8
1/16/2019,87264AAS4
1/16/2019,06051GFL8
1/16/2019,P37110AF3
1/16/2019,64990FHW7
1/16/2019,P989MJBL4
1/16/2019,71654QCC4
1/16/2019,71654QBG6
1/16/2019,71647NAN9
1/16/2019,345397WW9
1/17/2019,38141GVX9
1/17/2019,P7807HAB1
1/17/2019,38141EF87
1/18/2019,P989MJAY7
1/18/2019,29082HAA0
1/18/2019,279158AL3
1/18/2019,P37110AF3
1/18/2019,06051GFL8
1/18/2019,026874DD6
1/18/2019,690742AE1
1/18/2019,466313AG8
1/18/2019,71647NAS8
1/18/2019,71647NAZ2
1/22/2019,172967KB6
1/22/2019,912909AM0
1/22/2019,L0427PAA4
1/22/2019,25152RXA6
1/22/2019,71654QCG5
1/22/2019,P989MJBE0
1/22/2019,P19157AR0
1/22/2019,P989MJBG5
1/22/2019,71647NAF6
1/22/2019,71647NAQ2
1/22/2019,00206RDQ2
1/22/2019,29273RBL2
1/22/2019,71654QBV3
1/23/2019,L4191BAB9
1/23/2019,63254AAN8
1/23/2019,89114QBC1
1/23/2019,59333RGV0
1/23/2019,46625HRX0
1/24/2019,98389BAM2
1/24/2019,71647NAM1
1/24/2019,71647NAY5
1/24/2019,25152RXA6
1/24/2019,915183C47
1/24/2019,874476HV9
1/24/2019,P7807HAM7
1/24/2019,31572UAE6
1/24/2019,29082HAA0
1/24/2019,189754AA2
1/24/2019,040114HR4
1/25/2019,P7807HAM7
1/25/2019,71654QCG5
1/25/2019,U2526DAD1
1/25/2019,71647NAY5
1/25/2019,U4866DAB9
1/25/2019,71645WAQ4
1/25/2019,30161MAF0
1/25/2019,92826CAC6
1/28/2019,91911TAP8
1/28/2019,91911TAH6
1/28/2019,P17625AE7
1/28/2019,91911TAM5
1/28/2019,71647NAK5
1/28/2019,P8055KWL5
1/28/2019,71654QBG6
1/28/2019,71654QCC4
1/29/2019,E2R99CFM4
1/29/2019,91911TAH6
1/29/2019,496902AN7
1/29/2019,P7S16JAU2
1/29/2019,91911TAM5
1/29/2019,345370BY5
1/29/2019,37045XBS4
1/29/2019,36962G6S8
1/29/2019,172967JT9
1/30/2019,69783UAA9
1/30/2019,P04559AL7
1/30/2019,P19157AR0
1/30/2019,38141GVR2
1/30/2019,105756BS8
1/30/2019,00206RCT7
1/30/2019,91911TAP8
1/31/2019,G42045AB3
1/31/2019,279158AL3
1/31/2019,780097AZ4
1/31/2019,459745GH2
1/31/2019,G2300TAA0
1/31/2019,P09646AE3
2/1/2019,26875PAD3
2/1/2019,031162BU3
2/1/2019,14912L6R7
2/1/2019,71647NAQ2
2/1/2019,P22854AG1
2/1/2019,279158AK5
2/1/2019,91912EAA3
2/1/2019,81180WAR2
2/1/2019,71645WAS0
2/1/2019,P3772WAF9
2/1/2019,21036PAR9
2/1/2019,585055BR6
2/1/2019,88167AAC5
2/1/2019,00206RCR1
2/1/2019,P3772WAC6
2/1/2019,06051GEC9
2/4/2019,P1265VAA0
2/4/2019,432833AB7
2/4/2019,88167AAD3
2/4/2019,11134LAD1
2/4/2019,71647NAV1
2/4/2019,G07402DP5
2/5/2019,P09646AE3
2/5/2019,124857AG8
2/5/2019,P56226AC0
2/5/2019,P1905CAE0
2/5/2019,U56495AA9
2/5/2019,91911TAP8
2/5/2019,P98047AA4
2/5/2019,84265VAH8
2/5/2019,71654QAZ5
2/5/2019,71654QCG5
2/6/2019,345370CA6
2/6/2019,82671AAA1
2/6/2019,92857WBM1
2/6/2019,38141GVR2
2/6/2019,459745GN9
2/6/2019,37045XBY1
2/6/2019,459745GH2
2/6/2019,00206RCT7
2/6/2019,P9308RAZ6
2/6/2019,054303BA9
2/6/2019,P989MJBN0
2/7/2019,23636BAT6
2/7/2019,82671AAA1
2/7/2019,81180WAR2
2/7/2019,91911TAN3
2/7/2019,693476BJ1
2/7/2019,40428HPR7
2/7/2019,06051GFN4
2/7/2019,78012KCB1
2/7/2019,P1330HBF0
2/7/2019,P989MJBG5
2/7/2019,P989MJAY7
2/8/2019,172967KS9
2/8/2019,P3772WAH5
2/8/2019,A18007AA1
2/11/2019,71647NAS8
2/11/2019,80282KAU0
2/11/2019,71647NAZ2
2/11/2019,61745E4K4
2/12/2019,369604BQ5
2/12/2019,36966R7A8
2/12/2019,37045XBU9
2/12/2019,035242AK2
2/12/2019,50077LAP1
2/12/2019,02209SAT0
2/12/2019,38145GAF7
2/12/2019,G07402DP5
2/12/2019,46556MAB8
2/12/2019,P1910WLX5
2/12/2019,P7S16JAU2
2/13/2019,P37110AG1
2/13/2019,172967KS9
2/13/2019,71647NAF6
2/13/2019,71647NAV1
2/13/2019,D57188FH8
2/13/2019,71647NAS8
2/13/2019,G20011AC9
2/13/2019,09709TBE0
2/13/2019,71647NAM1
2/13/2019,91911TAP8
2/14/2019,459745GN9
2/14/2019,37045XBY1
2/14/2019,620076BB4
2/14/2019,11134LAD1
2/14/2019,693476BF9
2/14/2019,30219GAH1
2/14/2019,00507VAL3
2/14/2019,40414LAL3
2/14/2019,35906AAN8
2/14/2019,629568BB1
2/14/2019,345370CR9
2/14/2019,71647NAZ2
2/14/2019,382550BG5
2/15/2019,71645WAS0
2/15/2019,30219GAH1
2/15/2019,59261ANA1
2/15/2019,26138EAR0
2/15/2019,124857AS2
2/15/2019,71647NAF6
2/15/2019,247361ZK7
2/15/2019,63165TWJ0
2/19/2019,91911TAM5
2/19/2019,P04559AL7
2/19/2019,46625HNX4
2/19/2019,71647NAN9
2/19/2019,279158AK5
2/19/2019,G7808UCZ6
2/19/2019,744320BF8
2/19/2019,L21779AA8
2/19/2019,026874DM6
2/19/2019,46625HHL7
2/19/2019,172967KS9
2/19/2019,P989MJBL4
2/19/2019,172967KJ9
